id,year,sex,age,marital_status,degree,occ_prestige,num_children,op_working_mother,op_preschool,op_family,op_men_over_work,op_childcare,work_status,hours_worked,ever_worked
1,2021,Female,1950-1959,Married,High School,38,3,NA,NA,NA,NA,About Right,Working full time,30-39,Inapplicable
2,2021,Male,1960-1969,Divorced,Bachelors,57,0,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,About Right,Working full time,40-49,Inapplicable
3,2021,NA,Don't Know,Never Married,Less than High School,35,0,Agree,Disagree,Strongly Disagree,Disagree,Too Little,Working part time,10-19,Inapplicable
4,2021,NA,Don't Know,Widowed,Less than High School,35,2,Agree,Agree,Disagree,Disagree,Too Little,Working part time,20-29,Inapplicable
6,2021,Female,Don't Know,Never Married,High School,38,0,Agree,Agree,Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
7,2021,Female,1980-1989,Never Married,Bachelors,40,NA,Agree,Disagree,Agree,Neither Agree Nor Disagree,Too Little,Working full time,30-39,Inapplicable
8,2021,Male,2000-2009,Never Married,High School,60,0,Disagree,Disagree,Disagree,Agree,Too Little,Working full time,40-49,Inapplicable
9,2021,Female,Don't Know,Divorced,Graduate,59,1,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Too Much,Working part time,10-19,Inapplicable
10,2021,Male,1940-1949,Married,High School,38,0,Disagree,Agree,Disagree,Disagree,Too Little,Retired,More than 89,YES
12,2021,Female,1960-1969,Divorced,Bachelors,60,2,NA,NA,NA,NA,Too Little,Other,More than 89,Skipped on Web
13,2021,Male,1980-1989,Married,Less than High School,45,2,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Too Little,Working full time,40-49,Inapplicable
14,2021,Male,1990-1999,Never Married,High School,16,0,NA,NA,NA,NA,Too Little,In school,More than 89,YES
15,2021,Female,1950-1959,Married,Graduate,61,0,NA,NA,NA,NA,About Right,Retired,More than 89,YES
16,2021,Male,2000-2009,Never Married,High School,NA,0,Agree,Disagree,Disagree,Agree,Too Little,In school,More than 89,NO
17,2021,Male,1940-1949,Married,Graduate,45,2,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Working part time,60-69,Inapplicable
18,2021,Female,2000-2009,Never Married,High School,38,0,NA,NA,NA,NA,Too Little,Working part time,30-39,Inapplicable
19,2021,Female,1950-1959,Never Married,High School,35,3,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
21,2021,Female,1960-1969,Married,Associate/Junior College,60,0,NA,NA,NA,NA,About Right,Other,More than 89,YES
22,2021,Female,1990-1999,Never Married,Associate/Junior College,43,0,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Too Little,In school,More than 89,YES
23,2021,Female,1980-1989,Never Married,Graduate,54,0,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Too Little,Working full time,50-59,Inapplicable
24,2021,Male,Don't Know,Never Married,Bachelors,31,0,NA,NA,NA,NA,NA,Working full time,60-69,Inapplicable
25,2021,Male,1990-1999,Never Married,Bachelors,51,0,Agree,Agree,Disagree,Agree,Too Little,Working full time,50-59,Inapplicable
26,2021,Female,1960-1969,Married,Bachelors,24,3,NA,NA,NA,NA,About Right,Keeping house,More than 89,YES
27,2021,Female,1980-1989,Divorced,Bachelors,54,1,NA,NA,NA,NA,About Right,"Unemployed, laid off, looking for work",More than 89,Inapplicable
28,2021,Male,1980-1989,Married,Associate/Junior College,60,0,Strongly Agree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Working full time,50-59,Inapplicable
29,2021,Male,1960-1969,Married,High School,50,0,Agree,Disagree,Agree,Neither Agree Nor Disagree,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
30,2021,Female,1970-1979,Married,Graduate,64,0,NA,NA,NA,NA,Too Little,Working full time,30-39,Inapplicable
31,2021,Female,1970-1979,Married,Graduate,74,1,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,About Right,Working full time,40-49,Inapplicable
32,2021,Male,1980-1989,Never Married,High School,25,0,Strongly Agree,Strongly Disagree,Disagree,Disagree,About Right,"Unemployed, laid off, looking for work",More than 89,Inapplicable
35,2021,Male,1950-1959,Separated,High School,45,2,Agree,Agree,Disagree,Disagree,Too Little,Retired,More than 89,YES
36,2021,Female,1990-1999,Married,Graduate,80,0,Agree,Disagree,Disagree,Agree,About Right,Working full time,60-69,Inapplicable
37,2021,Female,1960-1969,Divorced,Bachelors,47,2,Agree,Strongly Disagree,Strongly Disagree,Agree,About Right,Working full time,50-59,Inapplicable
38,2021,Male,1980-1989,Never Married,Graduate,50,0,Agree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
39,2021,Male,1960-1969,Divorced,Bachelors,50,3,NA,NA,NA,NA,Too Much,Working full time,50-59,Inapplicable
40,2021,Female,Don't Know,Divorced,High School,31,0,NA,NA,NA,NA,About Right,Working full time,40-49,Inapplicable
41,2021,Female,1950-1959,Divorced,High School,43,0,Agree,Disagree,Disagree,Neither Agree Nor Disagree,About Right,Working full time,30-39,Inapplicable
42,2021,Female,1950-1959,Divorced,Less than High School,49,0,NA,NA,NA,NA,About Right,Working full time,40-49,Inapplicable
43,2021,Male,1970-1979,Never Married,High School,35,0,Agree,Disagree,Disagree,Agree,About Right,Working full time,50-59,Inapplicable
44,2021,NA,Don't Know,Married,Less than High School,38,1,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,About Right,Working full time,60-69,Inapplicable
45,2021,Male,1990-1999,Never Married,Bachelors,60,0,Agree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,About Right,Working full time,40-49,Inapplicable
46,2021,Female,1960-1969,Married,Bachelors,65,2,Disagree,Agree,Disagree,Neither Agree Nor Disagree,About Right,Keeping house,More than 89,YES
47,2021,Female,1970-1979,Married,Bachelors,63,0,Strongly Agree,Disagree,Disagree,Agree,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
48,2021,Female,1990-1999,Never Married,Bachelors,63,0,NA,NA,NA,NA,Too Little,In school,More than 89,YES
49,2021,Male,1970-1979,Married,Graduate,80,2,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
50,2021,Female,1990-1999,Never Married,High School,28,0,NA,NA,NA,NA,Too Little,Working part time,60-69,Inapplicable
51,2021,Male,1980-1989,Never Married,Bachelors,30,0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Much,"Unemployed, laid off, looking for work",More than 89,Inapplicable
52,2021,Female,1990-1999,Never Married,High School,48,1,NA,NA,NA,NA,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
53,2021,Male,1990-1999,Never Married,High School,48,4,Agree,Strongly Disagree,Disagree,Agree,About Right,"Unemployed, laid off, looking for work",More than 89,Inapplicable
54,2021,Male,1960-1969,Married,Graduate,49,1,Agree,Agree,Disagree,Disagree,Too Little,"With a job, but not at work because of temporary illness, vacation, strike",More than 89,Inapplicable
56,2021,Male,1970-1979,Married,Graduate,64,2,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
57,2021,Female,1970-1979,Married,Bachelors,41,2,NA,NA,NA,NA,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
59,2021,Female,1990-1999,Never Married,High School,42,1,NA,NA,NA,NA,Too Little,"With a job, but not at work because of temporary illness, vacation, strike",More than 89,Inapplicable
60,2021,Female,1990-1999,Never Married,Bachelors,39,0,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Too Little,Working full time,40-49,Inapplicable
61,2021,Female,1950-1959,Divorced,High School,44,1,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
62,2021,Female,1930-1939,Divorced,Bachelors,51,3,Agree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,About Right,Working full time,40-49,Inapplicable
63,2021,Male,Don't Know,Divorced,High School,53,3,Strongly Agree,Strongly Disagree,Disagree,Agree,Too Little,Working part time,10-19,Inapplicable
64,2021,Male,1960-1969,Married,Less than High School,37,3,NA,NA,NA,NA,About Right,Working full time,40-49,Inapplicable
65,2021,Male,1930-1939,Separated,High School,35,3,Strongly Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Retired,More than 89,YES
66,2021,Male,1970-1979,Married,Associate/Junior College,53,1,NA,NA,NA,NA,About Right,Working full time,60-69,Inapplicable
67,2021,Male,1940-1949,Married,Bachelors,60,4,Disagree,Disagree,Agree,Neither Agree Nor Disagree,About Right,Retired,More than 89,YES
68,2021,Female,Don't Know,Never Married,High School,28,0,NA,NA,NA,NA,About Right,Other,More than 89,YES
69,2021,Male,Don't Know,Married,Associate/Junior College,59,4,Disagree,Agree,Disagree,Agree,Too Little,Retired,More than 89,YES
70,2021,Male,Don't Know,Married,Bachelors,35,2,Agree,Disagree,Disagree,Agree,Too Little,Working part time,30-39,Inapplicable
71,2021,Female,1970-1979,Divorced,Bachelors,49,1,Strongly Agree,Disagree,Disagree,Disagree,Too Little,Working full time,50-59,Inapplicable
